"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2FDm000000HE8lMAG","","Related Exposure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a2IDm000000PKGTMA4","MappedSObjectHierarchyScreenResource","","4270197699781358","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8mMAG","","Product Request","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2IDm000000PKGUMA4","MappedSObjectHierarchyScreenResource","","42938954206438413","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8nMAG","","Product Package Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","20.0","slide","true","true","false","false","","false","","a2IDm000000PKGVMA4","MappedSObjectScreenResource","","42643964666242060","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8oMAG","","Relationship Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2IDm000000PKGWMA4","MappedSObjectHierarchyScreenResource","","42825292042184478","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8pMAG","","Product Package Team","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","70.0","slide","true","false","false","false","","false","","a2IDm000000PKGXMA4","MappedSObjectHierarchyScreenResource","","42133174641093210","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8qMAG","","Collateral Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","a2IDm000000PKGYMA4","MappedSObjectHierarchyScreenResource","","42093208890043296","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HE8rMAG","","Covenant Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9FMAW","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","a2IDm000000PKGZMA4","MappedSObjectHierarchyScreenResource","","42508168173628802","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEFQMA4","","Project Roll-Up","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","true","false","250.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","a2JDm000000L6ceMAC","42117116873695290","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEGNMA4","","Related Exposure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","60.0","slide","true","false","false","false","","false","","a2IDm000000PKIUMA4","MappedSObjectHierarchyScreenResource","","42337541546396719","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGPMA4","","Product Request","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2IDm000000PKIVMA4","MappedSObjectHierarchyScreenResource","","42060342184061082","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGQMA4","","Product Request Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","31.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6d9MAC","42790233509114092","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGRMA4","","Product Package Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","21.0","slide","true","true","true","false","","true","","","SObjectScreenResource","a2JDm000000L6dAMAS","42260518660566738","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGSMA4","","Product Package Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","20.0","slide","true","true","false","false","","false","","a2IDm000000PKIWMA4","MappedSObjectScreenResource","","42591654498647727","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGTMA4","","Relationship Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2IDm000000PKIXMA4","MappedSObjectHierarchyScreenResource","","42250856443413089","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGUMA4","","Relationship Summary Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","11.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6dBMAS","42799075634133575","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGVMA4","","Product Package Team","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","70.0","slide","true","false","false","false","","false","","a2IDm000000PKIYMA4","MappedSObjectHierarchyScreenResource","","42623640165556301","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGWMA4","","Collateral Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","40.0","slide","true","false","false","false","","false","","a2IDm000000PKIZMA4","MappedSObjectHierarchyScreenResource","","42005652314061361","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGXMA4","","Covenant Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","50.0","slide","true","false","false","false","","false","","a2IDm000000PKIaMAO","MappedSObjectHierarchyScreenResource","","42231822542683991","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGYMA4","","Collateral Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","41.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6dCMAS","42656459759327051","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGZMA4","","Covenant Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","51.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6dDMAS","42648566628937931","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGaMAO","","Recommendation Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","80.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a2JDm000000L6dEMAS","42354840928828947","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGbMAO","","Borrower Background and Management Analysis","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","90.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a2JDm000000L6dFMAS","a2FDm000000HEGbMAO","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEGcMAO","","Industry Trends and Analysis","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG93MAG","false","false","false","false","false","100.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a2JDm000000L6dGMAS","a2FDm000000HEGcMAO","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
