"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDm000000LDYIMA4","","SC-000010995","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEFQMA4","3.01","","","a2HDm000000LDcCMAW","LLC_BI__Account__r","","42025412949893064","Account","","","false","","false"
"a2HDm000000LDYJMA4","","SC-000010996","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEFQMA4","4.01","LLC_BI__Bundle_ID","","a2HDm000000LDYIMA4","LLC_BI__Underwriting_Bundle__r","","42566511727526079","LLC_BI__Underwriting_Bundle__c","","","false","","false"
"a2HDm000000LDcBMAW","","SC-000010993","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEFQMA4","1.01","","","","","","42597457406150339","LLC_BI__Loan__c","","","false","","false"
"a2HDm000000LDcCMAW","","SC-000010994","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEFQMA4","2.01","LLC_BI__Global_Entity_Fields","","a2HDm000000LDcBMAW","LLC_BI__Legal_Entities__r","","42717246136393856","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDm000000LDdlMAG","","SC-000011093","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGNMA4","1.01","","a2CDm000000LixkMAC","","","","42964540914621295","LLC_BI__Product_Package__c","","","false","","false"
"a2HDm000000LDdmMAG","","SC-000011094","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGNMA4","2.01","","a2CDm000000LixlMAC","a2HDm000000LDdlMAG","LLC_BI__Account__r","","42377339888100110","Account","","","false","","false"
"a2HDm000000LDdnMAG","","SC-000011095","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGNMA4","3.01","","a2CDm000000LixmMAC","a2HDm000000LDdmMAG","LLC_BI__Legal_Entities__r","","42215306934994969","LLC_BI__Legal_Entities__c","","","false","","false"
"a2HDm000000LDdoMAG","","SC-000011096","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGNMA4","4.01","Standard_Product_Package_Credit_Memo_Exp","a2CDm000000LixnMAC","a2HDm000000LDdnMAG","LLC_BI__Loan__r","Loans","42161025265584722","LLC_BI__Loan__c","","","false","","false"
"a2HDm000000LDdpMAG","","SC-000011097","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGNMA4","4.02","Standard_Product_Package_Credit_Memo","a2CDm000000LixoMAC","a2HDm000000LDdnMAG","LLC_BI__Deposit__r","Deposits","42097948918221534","LLC_BI__Deposit__c","","","false","","false"
"a2HDm000000LDdqMAG","","SC-000011098","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEGPMA4","1.01","","a2CDm000000LixpMAC","","","","42055111537551989","LLC_BI__Product_Package__c","","","false","","false"
