"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2FDm000000HECFMA4","","Collateral Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9SMAW","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42756644578938984","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HECGMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9SMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HECHMA4","","Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9SMAW","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42954666193102875","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HECIMA4","","Collateral Search Results","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9SMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","4289077711468689","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HECJMA4","","Bulk Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9SMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42112852178994770","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HECKMA4","","Collateral Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9YMAW","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42056851150727842","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HECLMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9YMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42942024594527494","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HECMMA4","","Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9YMAW","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42560036649135156","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HECNMA4","","Collateral Search Results","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9YMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42275749942731791","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HECOMA4","","Bulk Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9YMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42890787500455069","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HEFFMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2GDm000000LG9RMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42967747533345043","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HEFGMA4","","Collateral Search Results","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2GDm000000LG9RMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42050289151740779","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HEFHMA4","","Bulk Pledge Details","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2GDm000000LG9RMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42025930690024950","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HERGMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9gMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42056211837392803","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HERHMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9fMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42424425548316676","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HERIMA4","","Collateral Search Results","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9fMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42324251124134576","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HERJMA4","","Bulk Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9fMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42214592204420924","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HERKMA4","","Collateral Search Results","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9gMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42865362700638445","LLC_BI__Collateral__c","false","false","","","","","false","false",""
"a2FDm000000HERLMA4","","Bulk Pledge Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9gMAG","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42015509310499837","LLC_BI__Loan_Collateral2__c","false","false","","","","","false","false",""
"a2FDm000000HERMMA4","","Collateral Valuation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9QMAW","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42683828209591215","LLC_BI__Collateral__c","false","false","","","","","false","false",""
