"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Disable_Print__c","nFORCE__Show_Link_To_Context_Object__c","nFORCE__lookupKey__c","nFORCE__Disable_Read_Only_View__c"
"a2GDm000000LG9QMAW","005Dm000000nnayIAA","","Collateral-Titled-Motor Vehicle","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42913737407936953","false"
"a2GDm000000LG9RMAW","005Dm000001PCR9IAO","","Default Pledged Leased Asset Edit Screen","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","","false","true","42524349854296463","false"
"a2GDm000000LG9SMAW","005Dm000000nnayIAA","","Collateral-Real Estate","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42875581032868363","false"
"a2GDm000000LG9TMAW","005Dm000000nnayIAA","","Collateral-Titled-Mobile Home","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42461395767237886","false"
"a2GDm000000LG9UMAW","005Dm000000nnayIAA","","Collateral-Titled-Pleasure Boat","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42703575356168779","false"
"a2GDm000000LG9VMAW","005Dm000000nnayIAA","","Collateral-Titled-Ship","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42437151313046644","false"
"a2GDm000000LG9WMAW","005Dm000000nnayIAA","","Collateral-Titled-Aircraft","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42581909766045101","false"
"a2GDm000000LG9XMAW","005Dm000000nnayIAA","","Collateral-Titled-Trailer","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42860084203432194","false"
"a2GDm000000LG9YMAW","005Dm000000nnayIAA","","Collateral-Titled","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42229309426024690","false"
"a2GDm000000LG9ZMAW","005Dm000000nnayIAA","","Collateral-Possessory-Savings/CDs","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42440767386795598","false"
"a2GDm000000LG9aMAG","005Dm000000nnayIAA","","Collateral-Possessory-Securities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42653954664465365","false"
"a2GDm000000LG9bMAG","005Dm000000nnayIAA","","Collateral-Possessory-Note/Instrument","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42012862423685131","false"
"a2GDm000000LG9cMAG","005Dm000000nnayIAA","","Collateral-Possessory-Other Possessory","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42868736103271902","false"
"a2GDm000000LG9dMAG","005Dm000000nnayIAA","","Collateral-Possessory-Letter of Credit","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42254692718045368","false"
"a2GDm000000LG9eMAG","005Dm000000nnayIAA","","Collateral-Possessory-Life Insurance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42401059851966033","false"
"a2GDm000000LG9fMAG","005Dm000000nnayIAA","","Collateral-UCC","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42966783217336788","false"
"a2GDm000000LG9gMAG","005Dm000000nnayIAA","","Collateral-Other-Government Contracts","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42385715917275967","false"
"a2GDm000000LG9hMAG","005Dm000000nnayIAA","","Collateral-Titled-Vessel","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","false","true","42193338758163888","false"
