"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDm000000LDagMAG","","SC-000010783","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECFMA4","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42371294895782016","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDahMAG","","SC-000010784","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECGMA4","1.01","Collateral_Valuation_Real_Estate","","","","Collateral Valuation","42757230995398009","LLC_BI__Collateral__c","","0.0","false","","false"
"a2HDm000000LDaiMAG","","SC-000010785","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECHMA4","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42166220978297466","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDajMAG","","SC-000010786","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECIMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42957291244119398","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LDakMAG","","SC-000010787","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECJMA4","1.01","Pledge_Collateral_Override","","","","","42514632499443989","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDalMAG","","SC-000010788","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECKMA4","1.01","LLC_BI__Collateral_Modal_Details","","","","Details","42107958853547987","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDamMAG","","SC-000010789","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECLMA4","1.01","LLC_BI__Collateral_Valuation","","","","Collateral Valuation","42569087986246965","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LDanMAG","","SC-000010790","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECMMA4","1.01","LLC_BI__Pledge_Details","","","","Pledge Details","42355610245990104","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDaoMAG","","SC-000010791","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECNMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42147866350266157","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LDapMAG","","SC-000010792","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HECOMA4","1.01","Pledge_Collateral_Override","","","","","42655467735706176","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LDc0MAG","","SC-000010981","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HEFFMA4","1.01","LLC_BI__Leased_Asset_Valuation","","","","Valuation","42327143344905966","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LDc1MAG","","SC-000010982","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HEFGMA4","1.01","LLC_BI__Leased_Asset_Search_Results","","","","Search Results","42271488687128013","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LDc2MAG","","SC-000010983","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HEFHMA4","1.01","LLC_BI__Bulk_Pledge_Asset_Details","","","","","42787893627471830","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LE1LMAW","","SC-000011745","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERGMA4","1.01","Collateral_Valuations_Govt_Contracts","","","","Collateral Valuation","42598305753684355","LLC_BI__Collateral__c","","0.0","false","","false"
"a2HDm000000LE1NMAW","","SC-000011742","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERHMA4","1.01","UCC_Collateral_Valuation","","","","Collateral Valuation","42001690159558524","LLC_BI__Collateral__c","","0.0","false","","false"
"a2HDm000000LE1OMAW","","SC-000011743","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERIMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42320818129596128","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LE1PMAW","","SC-000011744","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERJMA4","1.01","Pledge_Collateral_Override","","","","","42562576321254457","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LE1QMAW","","SC-000011746","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERKMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42982006763027512","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LE1RMAW","","SC-000011747","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERLMA4","1.01","Pledge_Collateral_Override","","","","","42942274663986523","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LE1SMAW","","SC-000011748","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERMMA4","1.01","Collateral_Valuation_Titled_Motor_Vehicl","","","","Collateral Valuation","42897207519224636","LLC_BI__Collateral__c","","0.0","false","","false"
"a2HDm000000LE1TMAW","","SC-000011749","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERNMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42016811662619443","LLC_BI__Collateral__c","","","false","","false"
"a2HDm000000LE1UMAW","","SC-000011750","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEROMA4","1.01","Pledge_Collateral_Override","","","","","42518378832469762","LLC_BI__Loan_Collateral2__c","","","false","","false"
"a2HDm000000LE1VMAW","","SC-000011751","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERPMA4","1.01","Collateral_Valuation_Titled_Mobile_Home","","","","Collateral Valuation","42206872088823830","LLC_BI__Collateral__c","","0.0","false","","false"
"a2HDm000000LE1WMAW","","SC-000011752","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HERQMA4","1.01","LLC_BI__Collateral_Search_Results","","","","Search Results","42559918086928431","LLC_BI__Collateral__c","","","false","","false"
