"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__fieldValue__c","LLC_BI__lookupKey__c","LLC_BI__Description__c"
"a0EDm000000dJlOMAU","005Dm000000nnayIAA","","CFG-CV00014442","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Memo","CM_Name","","Change Memo","CM_Name",""
"a0EDm000000dJlPMAU","005Dm000000nnayIAA","","CFG-CV00014439","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Document Manager","DM_ReviewerRoles","","nCino Administrator","DM_ReviewerRoles",""
"a0EDm000000dJlQMAU","005Dm000000nnayIAA","","CFG-CV00014440","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Loan Status","Declined","","Declined","Declined",""
"a0EDm000000dJlRMAU","005Dm000000nnayIAA","","CFG-CV00014441","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Document Manager","DM_AmzOrgBucketName","","","DM_OrgBucketName",""
"a0EDm000000dJlSMAU","005Dm000000nnayIAA","","CFG-CV00014443","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","General","CreditRole","","Credit","CreditRole",""
"a0EDm000000dJlTMAU","005Dm000000nnayIAA","","CFG-CV00014444","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Renewal_History_In_Progress_String","ALL","","In Progress","REN_HIST_PROG_STR",""
"a0EDm000000dJlUMAU","005Dm000000nnayIAA","","CFG-CV00014445","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Renewal_History_Available_String","ALL","","Available","REN_HIST_AVAIL_STR",""
"a0EDm000000dJlVMAU","005Dm000000nnayIAA","","CFG-CV00014446","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","General","Bankr_BI_Prefix","","LLC_BI__","Bankr_BI_Prefix",""
"a0EDm000000dJlWMAU","005Dm000000nnayIAA","","CFG-CV00014447","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Memo","CM_Enabled","","Enabled","CM_Enabled",""
"a0EDm000000dJlXMAU","005Dm000000nnayIAA","","CFG-CV00014448","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Loan Stage","Complete","","Complete","Complete",""
"a0EDm000000dJlYMAU","005Dm000000nnayIAA","","CFG-CV00014449","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Loan Stage","Closed","","Booked","Closed",""
"a0EDm000000dJlZMAU","005Dm000000nnayIAA","","CFG-CV00014450","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Memo","CM_DocTabLookupKey","","TAB-LOAN-CREDIT","CM_DocTabLookupKey",""
"a0EDm000000dJlaMAE","005Dm000000nnayIAA","","CFG-CV00014451","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Memo","CM_DocTypeLookupKey","","DM-DT-001","CM_DocTypLookupKey",""
"a0EDm000000dJlbMAE","005Dm000000nnayIAA","","CFG-CV00014452","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Change Memo","CM_DocManLookupKey","","LLC_Loan","CM_DocManLookupKey",""
"a0EDm000000dJlcMAE","005Dm000000nnayIAA","","CFG-CV00014453","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Renewal_Name_Format","ALL","","_R","REN_NAME_FORMAT",""
"a0EDm000000dJldMAE","005Dm000000nnayIAA","","CFG-CV00014454","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Status_Renewal_Allowed","ALL","","Open","REN_STATUS_ALLOWED",""
"a0EDm000000dJleMAE","005Dm000000nnayIAA","","CFG-CV00014455","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Stages_Renewal_Allowed","ALL","","Booked","REN_STAGES_ALLOWED",""
