"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c","LLC_BI__Is_Financial_Indicator__c"
"a1jDm0000000XetIAE","005Dm000000nnayIAA","","Accounts Payable","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XetIAE","false"
"a1jDm0000000XeuIAE","005Dm000000nnayIAA","","Debt Service Coverage of Borrower","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XeuIAE","false"
"a1jDm0000000XevIAE","005Dm000000nnayIAA","","Collateral Insurance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Default Covenants","a1jDm0000000XevIAE","false"
"a1jDm0000000XewIAE","005Dm000000nnayIAA","","Term Covenants","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Term Covenants","a1jDm0000000XewIAE","false"
"a1jDm0000000XexIAE","005Dm000000nnayIAA","","Tax Returns","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Statement Requirements","a1jDm0000000XexIAE","false"
"a1jDm0000000XeyIAE","005Dm000000nnayIAA","","Business Financial Statement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Statement Requirements","a1jDm0000000XeyIAE","false"
"a1jDm0000000XezIAE","005Dm000000nnayIAA","","Personal Financial Statement","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Statement Requirements","a1jDm0000000XezIAE","false"
"a1jDm0000000Xf0IAE","005Dm000000nnayIAA","","Insurance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Collateral","876656834562756","false"
"a1jDm0000000Xf1IAE","005Dm000000nnayIAA","","Real Estate Taxes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Collateral","1558457345664583","false"
"a1jDm0000000Xf2IAE","005Dm000000nnayIAA","","Lease Information","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Statement Requirements","a1jDm0000000Xf2IAE","false"
"a1jDm0000000Xf3IAE","005Dm000000nnayIAA","","Financial Statement Requirements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Statement Requirements","a1jDm0000000Xf3IAE","false"
"a1jDm0000000Xf4IAE","005Dm000000nnayIAA","","Minimum Current Ratio","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000Xf4IAE","false"
"a1jDm0000000Xf5IAE","005Dm000000nnayIAA","","Global Debt Service Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000Xf5IAE","false"
"a1jDm0000000Xf6IAE","005Dm000000nnayIAA","","Fixed Asset Purchases","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000Xf6IAE","false"
"a1jDm0000000Xf7IAE","005Dm000000nnayIAA","","Maintain Accounts","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Default Covenants","a1jDm0000000Xf7IAE","false"
"a1jDm0000000Xf8IAE","005Dm000000nnayIAA","","Minimum Working Capital Ratio","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000Xf8IAE","false"
"a1jDm0000000Xf9IAE","005Dm000000nnayIAA","","Key Man Life Insurance","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Default Covenants","a1jDm0000000Xf9IAE","false"
"a1jDm0000000XfAIAU","005Dm000000nnayIAA","","Limiting Compensation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfAIAU","false"
"a1jDm0000000XfBIAU","005Dm000000nnayIAA","","Debt Service Coverage with and without Distributions","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfBIAU","false"
"a1jDm0000000XfCIAU","005Dm000000nnayIAA","","Maximum Debt to Worth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfCIAU","false"
"a1jDm0000000XfDIAU","005Dm000000nnayIAA","","Minimum Liquidity","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfDIAU","false"
"a1jDm0000000XfEIAU","005Dm000000nnayIAA","","Minimum Times Interest Earned","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfEIAU","false"
"a1jDm0000000XfFIAU","005Dm000000nnayIAA","","Minimum Working Capital","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfFIAU","false"
"a1jDm0000000XfGIAU","005Dm000000nnayIAA","","Financial Indicators","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Financial Indicators","a1jDm0000000XfGIAU","false"
"a1jDm0000000XfHIAU","005Dm000000nnayIAA","","Default Covenants","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","Default Covenants","a1jDm0000000XfHIAU","false"
