"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Attorney__c","LLC_BI__ExpansionLh__c","LLC_BI__ExpansionRe__c","LLC_BI__RefinanceLh__c","LLC_BI__RefinanceRe__c","LLC_BI__Start_upLh__c","LLC_BI__Start_upRe__c","LLC_BI__acquisitionLh__c","LLC_BI__acquisitionRe__c","LLC_BI__clientView__c","LLC_BI__comments__c","LLC_BI__docClass__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__docType__c","LLC_BI__dueDaysPrior__c","LLC_BI__firstReview__c","LLC_BI__lookupKey__c","LLC_BI__naOk__c","LLC_BI__onesToWatch__c","LLC_BI__owner__c","LLC_BI__sortOrder__c","LLC_BI__Portal_Doc_Description__c","LLC_BI__Portal_Doc_Name__c","LLC_BI__Portal_Enabled__c","NDOC__description__c","NDOC__neededByStage__c","NDOC__priority__c","LLC_BI__Approval_Roles__c","LLC_BI__Viewer_Roles__c","LLC_BI__Criteria__c","NDOC__Placeholder_Approval_Roles__c","NDOC__Placeholder_Viewer_Roles__c","LLC_BI__Auto_Esign__c","LLC_BI__Placeholder_Viewer_Groups__c","LLC_BI__Placeholder_Viewer_Profiles__c","LLC_BI__Requirement__c","LLC_BI__Document_Id_Mapping__c","LLC_BI__E_Vault__c","LLC_BI__Type__c"
"a0HDm000001Yu5fMAC","005Dm000000nnayIAA","","Credit Memo","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCYMAY","a0VDm000000XqdgMAC","","a0XDm000000sHw0MAE","","false","a0HDm000001Yu5fMAC","false","false","","","","","false","","","","","","","","","false","","","","","false","Standard"
"a0HDm000001Yu5gMAC","005Dm000000nnayIAA","","Business Tax Returns","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCZMAY","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5gMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5hMAC","005Dm000000nnayIAA","","Business Financial Statements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCaMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5hMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5iMAC","005Dm000000nnayIAA","","Credit Report","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCbMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5iMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5jMAC","005Dm000000nnayIAA","","Tax ID","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCcMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw9MAE","","false","a0HDm000001Yu5jMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5kMAC","005Dm000000nnayIAA","","Business Tax Returns","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCdMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5kMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5lMAC","005Dm000000nnayIAA","","Business Financial Statements","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCeMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5lMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5mMAC","005Dm000000nnayIAA","","Credit Report","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCfMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5mMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5nMAC","005Dm000000nnayIAA","","Articles of Incorporation","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeCgMAI","a0VDm000000XqdiMAC","","a0XDm000000sHwAMAU","","false","a0HDm000001Yu5nMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
"a0HDm000001Yu5oMAC","005Dm000000nnayIAA","","Personal Tax Return","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","false","","","","","","","","","false","","a0RDm000000oeChMAI","a0VDm000000XqdiMAC","","a0XDm000000sHw8MAE","","false","a0HDm000001Yu5oMAC","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false","Standard"
