"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","cm_Industry_Code_Description__c","cm_Industry_Code__c"
"a1bDm000000YmooIAC","005Dm000000nnayIAA","","314994 - Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills","314994"
"a1bDm000000YmopIAC","005Dm000000nnayIAA","","314999 - All Other Miscellaneous Textile Product Mills","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","All Other Miscellaneous Textile Product Mills","314999"
"a1bDm000000YmoqIAC","005Dm000000nnayIAA","","315120 - Apparel Knitting Mills","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Apparel Knitting Mills","315120"
"a1bDm000000YmorIAC","005Dm000000nnayIAA","","315210 - Cut and Sew Apparel Contractors","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Cut and Sew Apparel Contractors","315210"
"a1bDm000000YmosIAC","005Dm000000nnayIAA","","315250 - Cut and Sew Apparel Manufacturing (except Contractors)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Cut and Sew Apparel Manufacturing (except Contractors)","315250"
"a1bDm000000YmotIAC","005Dm000000nnayIAA","","315990 - Apparel Accessories and Other Apparel Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Apparel Accessories and Other Apparel Manufacturing","315990"
"a1bDm000000YmouIAC","005Dm000000nnayIAA","","316110 - Leather and Hide Tanning and Finishing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Leather and Hide Tanning and Finishing","316110"
"a1bDm000000YmovIAC","005Dm000000nnayIAA","","316210 - Footwear Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Footwear Manufacturing","316210"
"a1bDm000000YmowIAC","005Dm000000nnayIAA","","316990 - Other Leather and Allied Product Manufacturing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Other Leather and Allied Product Manufacturing","316990"
"a1bDm000000YmoxIAC","005Dm000000nnayIAA","","321113 - Sawmills","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Sawmills","321113"
