"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LLC_BI__Category_Name__c","LLC_BI__Is_Active__c","LLC_BI__Key__c","LLC_BI__Value__c","LLC_BI__Description__c"
"a1DDm000000kUmxMAE","","42797660592160121","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","ncred_webpack_resource","nCRED__vf_includes",""
"a1DDm000000kUmyMAE","","42892025178781697","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Income Statement.hide","false",""
"a1DDm000000kUmzMAE","","42388590213150700","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Income Statement.render","false",""
"a1DDm000000kUn0MAE","","42729093741145130","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Balance Sheet.order","8",""
"a1DDm000000kUn1MAE","","42980559692389223","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Income Statement.order","7",""
"a1DDm000000kUn2MAE","","42923667201855594","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Balance Sheet.hide","false",""
"a1DDm000000kUn3MAE","","42243265222135256","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Balance Sheet.render","false",""
"a1DDm000000kUn4MAE","","42844254584470830","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Personal Financial Statement.hide","false",""
"a1DDm000000kUn5MAE","","42318646524126507","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Personal Financial Statement.render","false",""
"a1DDm000000kUn6MAE","","42955239220352579","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","underwriting","true","section.Personal Financial Statement.order","11",""
