"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Product_Type__c","LLC_BI__Is_Booked__c","LLC_BI__Stage__c","LLC_BI__Stage_and_Status__c","LLC_BI__Status__c","LLC_BI__lookupKey__c","LLC_BI__Is_Closed__c","LLC_BI__External_Stage_Order__c","LLC_BI__External_Stage__c","LLC_BI__Is_Excluded_From_Stage_Duration__c","LLC_BI__Is_Ready_To_Transmit__c","LLC_BI__Activate__c","LLC_BI__Is_Covenant__c"
"a1VDm000000RuYtMAK","","P-0000001353","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Hold","a1VDm000000RuYtMAK","true","","","false","false","false","false"
"a1VDm000000RuYuMAK","","P-0000001354","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Open","a1VDm000000RuYuMAK","true","","","false","false","false","false"
"a1VDm000000RuYvMAK","","P-0000001355","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Charge-Off","a1VDm000000RuYvMAK","true","","","false","false","false","false"
"a1VDm000000RuYwMAK","","P-0000001356","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Paid Out","a1VDm000000RuYwMAK","true","","","false","false","false","false"
"a1VDm000000RuYxMAK","","P-0000000005","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvmIAC","true","Booked","","Charge-Off","a1VDm000000RuYxMAK","true","","","false","false","false","false"
"a1VDm000000RuYyMAK","","P-0000001357","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Superceded","a1VDm000000RuYyMAK","true","","","false","false","false","false"
"a1VDm000000RuYzMAK","","P-0000000000","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvmIAC","true","Booked","","Hold","a1VDm000000RuYzMAK","true","","","false","false","false","false"
"a1VDm000000RuZ0MAK","","P-0000000002","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvmIAC","true","Booked","","Open","a1VDm000000RuZ0MAK","true","","","false","false","false","false"
"a1VDm000000RuZ1MAK","","P-0000000006","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvmIAC","true","Booked","","Paid Out","a1VDm000000RuZ1MAK","true","","","false","false","false","false"
"a1VDm000000RuZ2MAK","","P-0000000007","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvrIAC","true","Booked","","Hold","a1VDm000000RuZ2MAK","false","","","false","false","false","false"
"a1VDm000000RuZ3MAK","","P-0000000009","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvrIAC","true","Booked","","Open","a1VDm000000RuZ3MAK","false","","","false","false","false","false"
"a1VDm000000RuZ4MAK","","P-0000001350","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvmIAC","true","Booked","","Superceded","a1VDm000000RuZ4MAK","true","","","false","false","false","false"
"a1VDm000000RuZ5MAK","","P-0000001361","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Paid Out","a1VDm000000RuZHMA0","true","","","false","false","false","false"
"a1VDm000000RuZ6MAK","","P-0000001358","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a0tDm000000PpvoIAC","true","Booked","","Hold","a1VDm000000RuZIMA0","true","","","false","false","false","false"
