"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Condition__c","nFORCE__Conditional_Question__c","nFORCE__Option__c","nFORCE__Question__c","nFORCE__lookupKey__c"
"a2yDm000000oRpGIAU","005Dm000000nnayIAA","","OR-000101","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxJIAS","a2zDm000000TYZbIAO","a30Dm000000XmxHIAS","a2yDm000000oRqIIAU"
"a2yDm000000oRpHIAU","005Dm000000nnayIAA","","OR-000110","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaKIAW","a30Dm000000XmxYIAS","a2yDm000000oRqJIAU"
"a2yDm000000oRpIIAU","005Dm000000nnayIAA","","OR-000111","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaLIAW","a30Dm000000XmxYIAS","a2yDm000000oRqKIAU"
"a2yDm000000oRpJIAU","005Dm000000nnayIAA","","OR-000112","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaMIAW","a30Dm000000XmxYIAS","a2yDm000000oRqLIAU"
"a2yDm000000oRpKIAU","005Dm000000nnayIAA","","OR-000113","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxZIAS","a2zDm000000TYZwIAO","a30Dm000000XmxYIAS","a2yDm000000oRqMIAU"
"a2yDm000000oRpLIAU","005Dm000000nnayIAA","","OR-000114","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaNIAW","a30Dm000000XmxZIAS","a2yDm000000oRqNIAU"
"a2yDm000000oRpMIAU","005Dm000000nnayIAA","","OR-000115","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxaIAC","a2zDm000000TYZxIAO","a30Dm000000XmxZIAS","a2yDm000000oRqOIAU"
"a2yDm000000oRpNIAU","005Dm000000nnayIAA","","OR-000116","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaOIAW","a30Dm000000XmxaIAC","a2yDm000000oRqPIAU"
"a2yDm000000oRpOIAU","005Dm000000nnayIAA","","OR-000117","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxBIAS","a2zDm000000TYZyIAO","a30Dm000000XmxaIAC","a2yDm000000oRqQIAU"
"a2yDm000000oRpPIAU","005Dm000000nnayIAA","","OR-000118","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaQIAW","a30Dm000000XmxBIAS","a2yDm000000oRqRIAU"
"a2yDm000000oRpQIAU","005Dm000000nnayIAA","","OR-000119","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxbIAC","a2zDm000000TYZzIAO","a30Dm000000XmxBIAS","a2yDm000000oRqSIAU"
"a2yDm000000oRpRIAU","005Dm000000nnayIAA","","OR-000120","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxoIAC","a2zDm000000TYaPIAW","a30Dm000000XmxbIAC","a2yDm000000oRqTIAU"
"a2yDm000000oRpSIAU","005Dm000000nnayIAA","","OR-000121","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxcIAC","a2zDm000000TYa0IAG","a30Dm000000XmxbIAC","a2yDm000000oRqUIAU"
"a2yDm000000oRpTIAU","005Dm000000nnayIAA","","OR-000122","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","equal to","a30Dm000000XmxpIAC","a2zDm000000TYaSIAW","a30Dm000000XmxSIAS","a2yDm000000oRqVIAU"
