"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__Label__c","nFORCE__Order__c","nFORCE__Question__c","nFORCE__lookupKey__c","nFORCE__Api_Value__c","nFORCE__Is_Default__c"
"a2zDm000000TYZYIA4","005Dm000000nnayIAA","","O-000222","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxJIAS","a2zDm000000TYcVIAW","","false"
"a2zDm000000TYZZIA4","005Dm000000nnayIAA","","O-000219","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxHIAS","a2zDm000000TYcWIAW","","false"
"a2zDm000000TYZaIAO","005Dm000000nnayIAA","","O-000220","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxIIAS","a2zDm000000TYcXIAW","","false"
"a2zDm000000TYZbIAO","005Dm000000nnayIAA","","O-000221","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxHIAS","a2zDm000000TYcYIAW","","false"
"a2zDm000000TYZcIAO","005Dm000000nnayIAA","","O-000223","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxGIAS","a2zDm000000TYcZIAW","","false"
"a2zDm000000TYZdIAO","005Dm000000nnayIAA","","O-000224","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxKIAS","a2zDm000000TYcaIAG","","false"
"a2zDm000000TYZeIAO","005Dm000000nnayIAA","","O-000225","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxLIAS","a2zDm000000TYcbIAG","","false"
"a2zDm000000TYZfIAO","005Dm000000nnayIAA","","O-000226","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxMIAS","a2zDm000000TYccIAG","","false"
"a2zDm000000TYZgIAO","005Dm000000nnayIAA","","O-000227","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxNIAS","a2zDm000000TYcdIAG","","false"
"a2zDm000000TYZhIAO","005Dm000000nnayIAA","","O-000231","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxGIAS","a2zDm000000TYchIAG","","false"
"a2zDm000000TYZiIAO","005Dm000000nnayIAA","","O-000228","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxOIAS","a2zDm000000TYceIAG","","false"
"a2zDm000000TYZjIAO","005Dm000000nnayIAA","","O-000229","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxOIAS","a2zDm000000TYcfIAG","","false"
"a2zDm000000TYZkIAO","005Dm000000nnayIAA","","O-000230","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxMIAS","a2zDm000000TYcgIAG","","false"
"a2zDm000000TYZlIAO","005Dm000000nnayIAA","","O-000232","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes - By selecting this option, this record will be marked HMDA Reportable","1.0","a30Dm000000XmxPIAS","a2zDm000000TYcjIAG","","false"
"a2zDm000000TYZmIAO","005Dm000000nnayIAA","","O-000233","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes - By selecting this option, this record will be marked as an Employee Loan","1.0","a30Dm000000XmxQIAS","a2zDm000000TYckIAG","","false"
"a2zDm000000TYZnIAO","005Dm000000nnayIAA","","O-000234","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxRIAS","a2zDm000000TYclIAG","","false"
"a2zDm000000TYZoIAO","005Dm000000nnayIAA","","O-000236","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes - By selecting this option, this record will be marked Reg W Reportable","1.0","a30Dm000000XmyAIAS","a2zDm000000TYciIAG","","false"
"a2zDm000000TYZpIAO","005Dm000000nnayIAA","","O-000235","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000Xmy9IAC","a2zDm000000TYcmIAG","","false"
"a2zDm000000TYZqIAO","005Dm000000nnayIAA","","O-000237","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxSIAS","a2zDm000000TYcnIAG","","false"
"a2zDm000000TYZrIAO","005Dm000000nnayIAA","","O-000238","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxTIAS","a2zDm000000TYcoIAG","","false"
"a2zDm000000TYZsIAO","005Dm000000nnayIAA","","O-000239","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxUIAS","a2zDm000000TYcpIAG","","false"
"a2zDm000000TYZtIAO","005Dm000000nnayIAA","","O-000240","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxVIAS","a2zDm000000TYcqIAG","","false"
"a2zDm000000TYZuIAO","005Dm000000nnayIAA","","O-000241","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes","1.0","a30Dm000000XmxWIAS","a2zDm000000TYcrIAG","","false"
"a2zDm000000TYZvIAO","005Dm000000nnayIAA","","O-000242","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","Yes - By selecting this option, the record will be marked CRA Reportable.","1.0","a30Dm000000XmxXIAS","a2zDm000000TYcsIAG","","false"
"a2zDm000000TYZwIAO","005Dm000000nnayIAA","","O-000243","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","None of the above","4.0","a30Dm000000XmxYIAS","a2zDm000000TYctIAG","","false"
"a2zDm000000TYZxIAO","005Dm000000nnayIAA","","O-000244","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxZIAS","a2zDm000000TYcuIAG","","false"
"a2zDm000000TYZyIAO","005Dm000000nnayIAA","","O-000245","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxaIAC","a2zDm000000TYcvIAG","","false"
"a2zDm000000TYZzIAO","005Dm000000nnayIAA","","O-000246","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxBIAS","a2zDm000000TYcwIAG","","false"
"a2zDm000000TYa0IAG","005Dm000000nnayIAA","","O-000247","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","No","2.0","a30Dm000000XmxbIAC","a2zDm000000TYcxIAG","","false"
