"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Risk_Grade_Factor__c","LLC_BI__Description__c","LLC_BI__High__c","LLC_BI__Low__c","LLC_BI__Risk_Grade__c","LLC_BI__lookupKey__c","LLC_BI__QV_Index__c"
"a0xDm000000PI2qIAG","","RGC-000000000","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","","2.5","1","a0xDm000000PI2qIAG",""
"a0xDm000000PI2rIAG","","RGC-000000001","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","2.49","1.75","2","a0xDm000000PI2rIAG",""
"a0xDm000000PI2sIAG","","RGC-000000002","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","1.74","1.1","3","a0xDm000000PI2sIAG",""
"a0xDm000000PI2tIAG","","RGC-000000003","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","1.09","1.0","4","a0xDm000000PI2tIAG",""
"a0xDm000000PI2uIAG","","RGC-000000004","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","0.99","0.75","5","a0xDm000000PI2uIAG",""
"a0xDm000000PI2vIAG","","RGC-000000005","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","0.74","0.5","6","a0xDm000000PI2vIAG",""
"a0xDm000000PI2wIAG","","RGC-000000006","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADJIA4","","0.49","","7","a0xDm000000PI2wIAG",""
"a0xDm000000PI2xIAG","","RGC-000000007","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","","751.0","1","a0xDm000000PI2xIAG",""
"a0xDm000000PI2yIAG","","RGC-000000008","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","750.0","725.0","2","a0xDm000000PI2yIAG",""
"a0xDm000000PI2zIAG","","RGC-000000009","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","724.0","675.0","3","a0xDm000000PI2zIAG",""
"a0xDm000000PI30IAG","","RGC-000000010","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","674.0","650.0","4","a0xDm000000PI30IAG",""
"a0xDm000000PI31IAG","","RGC-000000011","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","649.0","625.0","5","a0xDm000000PI31IAG",""
"a0xDm000000PI32IAG","","RGC-000000012","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","624.0","600.0","6","a0xDm000000PI32IAG",""
"a0xDm000000PI33IAG","","RGC-000000013","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADKIA4","","599.0","","7","a0xDm000000PI33IAG",""
"a0xDm000000PI4CIAW","","RGC-000004941","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Very Good","","","1","a0xDm000000PI4CIAW",""
"a0xDm000000PI4DIAW","","RGC-000004942","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Good","","","2","a0xDm000000PI4DIAW",""
"a0xDm000000PI4EIAW","","RGC-000004943","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Average","","","3","a0xDm000000PI4EIAW",""
"a0xDm000000PI4FIAW","","RGC-000004944","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Poor","","","4","a0xDm000000PI4FIAW",""
"a0xDm000000PI4GIAW","","RGC-000004945","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Very Poor","","","5","a0xDm000000PI4GIAW",""
"a0xDm000000PI4HIAW","","RGC-000004946","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","Exception","","","6","a0xDm000000PI4HIAW",""
"a0xDm000000PI4IIAW","","RGC-000004947","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADVIA4","N/A","","","7","a0xDm000000PI4IIAW",""
"a0xDm000000PI4JIAW","","RGC-000004948","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","","11.0","1","a0xDm000000PI4JIAW",""
"a0xDm000000PI4KIAW","","RGC-000004949","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","10.0","9.0","2","a0xDm000000PI4KIAW",""
"a0xDm000000PI4LIAW","","RGC-000004950","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","8.0","7.0","3","a0xDm000000PI4LIAW",""
"a0xDm000000PI4MIAW","","RGC-000004951","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","6.0","5.0","4","a0xDm000000PI4MIAW",""
"a0xDm000000PI4NIAW","","RGC-000004952","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","4.0","3.0","5","a0xDm000000PI4NIAW",""
"a0xDm000000PI4OIAW","","RGC-000004953","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","2.0","1.0","6","a0xDm000000PI4OIAW",""
"a0xDm000000PI4PIAW","","RGC-000004954","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADWIA4","","0.0","","7","a0xDm000000PI4PIAW",""
"a0xDm000000PI4QIAW","","RGC-000004955","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","10.0","0.0","1","a0xDm000000PI4QIAW",""
"a0xDm000000PI4RIAW","","RGC-000004956","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","20.0","10.01","2","a0xDm000000PI4RIAW",""
"a0xDm000000PI4SIAW","","RGC-000004957","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","50.0","30.01","4","a0xDm000000PI4SIAW",""
"a0xDm000000PI4TIAW","","RGC-000004958","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","70.0","50.01","5","a0xDm000000PI4TIAW",""
"a0xDm000000PI4UIAW","","RGC-000004959","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","80.0","70.01","6","a0xDm000000PI4UIAW",""
"a0xDm000000PI4VIAW","","RGC-000004960","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADXIA4","","100.0","80.01","7","a0xDm000000PI4VIAW",""
"a0xDm000000PI4WIAW","","RGC-000004961","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a0zDm000000UADYIA4","","","2.5","1","a0xDm000000PI4WIAW",""
