"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Column_Number__c","LLC_BI__Is_Qualitative__c","LLC_BI__Is_Quantitative__c","LLC_BI__Risk_Grade_Template__c","LLC_BI__Type__c","LLC_BI__Units__c","LLC_BI__Weight__c","LLC_BI__lookupKey__c","LLC_BI__Highest__c","LLC_BI__Lowest__c","LLC_BI__Risk_Grade_Group__c"
"a0zDm000000UADJIA4","005Dm000000nnayIAA","","Cash Flow Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","10.0","","","a10Dm000000MTknIAG","Quantitative","","0.17","a0zDm000000UADJIA4","","",""
"a0zDm000000UADKIA4","005Dm000000nnayIAA","","Credit Score","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","20.0","","","a10Dm000000MTknIAG","Quantitative","","0.5","a0zDm000000UADKIA4","","",""
"a0zDm000000UADVIA4","005Dm000000nnayIAA","","Subjective Grade","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Qualitative","","0.2","a0zDm000000UADVIA4","","","a22Dm0000008tS3IAI"
"a0zDm000000UADWIA4","005Dm000000nnayIAA","","Management Experience (In Years)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Quantitative","","0.1","a0zDm000000UADWIA4","","","a22Dm0000008tS3IAI"
"a0zDm000000UADXIA4","005Dm000000nnayIAA","","Sr. Level Executive Turnover","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Quantitative","","0.1","a0zDm000000UADXIA4","","","a22Dm0000008tS3IAI"
"a0zDm000000UADYIA4","005Dm000000nnayIAA","","Cash Flow Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Quantitative","","0.2","a0zDm000000UADYIA4","","","a22Dm0000008tS3IAI"
"a0zDm000000UADZIA4","005Dm000000nnayIAA","","Inventory Supply","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Qualitative","","0.1","a0zDm000000UADZIA4","","","a22Dm0000008tS3IAI"
"a0zDm000000UADaIAO","005Dm000000nnayIAA","","Global Cash Flow","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Quantitative","","0.2","a0zDm000000UADaIAO","","","a22Dm0000008tS3IAI"
"a0zDm000000UADbIAO","005Dm000000nnayIAA","","Credit Score","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","a10Dm000000MTkoIAG","Quantitative","","0.1","a0zDm000000UADbIAO","","","a22Dm0000008tS3IAI"
"a0zDm000000UADpIAO","005Dm000000nnayIAA","","Cash Flow Coverage","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","10.0","","","a10Dm000000MTkqIAG","Quantitative","","0.17","a0zDm000000UADpIAO","","",""
