"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2FDm000000HEL8MAO","","Fees","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","27.0","slide","true","false","false","false","","false","","a2IDm000000PKJ3MAO","MappedSObjectHierarchyScreenResource","","a02Dm0000013sQDIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEL9MAO","","Approval History","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","120.0","slide","true","false","false","false","","false","","","SObjectScreenResource","a2JDm000000L6eJMAS","a02Dm0000013sQEIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELAMA4","","Spreads Appendix","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG97MAG","false","false","false","false","false","170.0","slide","true","false","false","false","","false","","a2IDm000000PKJ4MAO","MappedSObjectHierarchyScreenResource","a2JDm000000L6eKMAS","a02Dm0000013sQFIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELBMA4","","Related Exposure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","46.0","slide","true","false","false","false","","false","","a2IDm000000PKJ5MAO","RelatedLoanListFScreenResource","","a02Dm0000013sQGIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELCMA4","","Related Deposits","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","47.0","slide","true","false","true","false","","false","","a2IDm000000PKJ6MAO","DepositFScreenResource","","a02Dm0000013sQHIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELDMA4","","Related Exposure Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","48.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6eLMAS","a02Dm0000013sQIIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELEMA4","","Loan Pricing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2IDm000000PKJ7MAO","LoanPricingFScreenResource","","a02Dm0000013sQJIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELFMA4","","Borrower Structure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","30.0","slide","true","false","false","false","","false","","a2IDm000000PKJ8MAO","InvolvementsFScreenResource","","a02Dm0000013sQKIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELGMA4","","Covenants","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG96MAG","false","false","false","false","false","110.0","slide","true","false","false","false","","false","","a2IDm000000PKJ9MAO","Covenant2FScreenResource","","a02Dm0000013sQLIAY","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HELHMA4","","Product Request Narrative","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG98MAG","false","false","false","false","false","31.0","slide","true","false","true","false","","false","","","SObjectScreenResource","a2JDm000000L6eMMAS","a02Dm0000013sQMIAY","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
