"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDm000000LE0sMAG","","SC-000011695","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQ2MAO","2.0","LLC_BI__UI_Memo_Action","","a2HDm000000LDzlMAG","LLC_BI__Change_Memos__r","Change Memo","72631619447516058","LLC_BI__Credit_Memo_Modifcation__c","","","false","","false"
"a2HDm000000LE0tMAG","","SC-000011696","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQ4MAO","2.01","LLC_BI__UI_Loan_Team_Members","","a2HDm000000LDznMAG","LLC_BI__Loan_Teams__r","Team Members","95001619447516059","LLC_BI__LoanTeam__c","","","false","","false"
"a2HDm000000LE0uMAG","","SC-000011697","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQ8MAO","2.02","UI_Participations","a2CDm000000LjCJMA0","a2HDm000000LDzpMAG","LLC_BI__Participations__r","","66271619447516060","LLC_BI__Participation__c","","0.0","false","","false"
"a2HDm000000LE0vMAG","","SC-000011698","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQ6MAO","2.01","UI_Third_Party_Reports","a2CDm000000LjCKMA0","a2HDm000000LDzqMAG","LLC_BI__Third_Party_Reports__r","","83491619447516061","LLC_BI__third_party_report__c","","","false","","false"
"a2HDm000000LE0wMAG","","SC-000011699","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQ5MAO","2.01","UI_Fees","a2CDm000000LjCLMA0","a2HDm000000LDzrMAG","LLC_BI__Fees__r","","83911619447516061","LLC_BI__Fee__c","","","false","","false"
"a2HDm000000LE0xMAG","","SC-000011700","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQVMA4","2.02","LLC_BI__Rate_Structure_Table","a2CDm000000LjCMMA0","a2HDm000000LDzvMAG","Pricing_Rate_Components__r","","42798736186858683","LLC_BI__Pricing_Rate_Component__c","","0.0","false","","false"
"a2HDm000000LE0yMAG","","SC-000011701","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQWMA4","2.02","LLC_BI__Payment_Structure_Table","a2CDm000000LjCNMA0","a2HDm000000LDzwMAG","Pricing_Payment_Components__r","","42337775341788577","LLC_BI__Pricing_Payment_Component__c","","0.0","false","","false"
"a2HDm000000LE0zMAG","","SC-000011703","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQaMAO","1.01","Third_Party_Service_Mgmt","a2CDm000000LjCOMA0","a2HDm000000LE02MAG","LLC_BI__Service_Mgmt__r","","65391620937672788","LLC_BI__Service_Mgmt__c","","0.0","false","","false"
"a2HDm000000LE10MAG","","SC-000011704","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQbMAO","2.02","","a2CDm000000LjCPMA0","a2HDm000000LE04MAG","LLC_BI__Legal_Entities__r","","16071620937672788","LLC_BI__Legal_Entities__c","","0.0","false","","false"
"a2HDm000000LE11MAG","","SC-000011705","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEQcMAO","2.01","UI_Borrowing_Structure","","a2HDm000000LE05MAG","LLC_BI__Legal_Entities__r","Borrowing Structure","85241620937672789","LLC_BI__Legal_Entities__c","","","false","","false"
