"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Category__c","LLC_BI__lookupKey__c"
"a3YDm000000Gu7IMAS","005Dm000000nnayIAA","","Deferred Taxes","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","deferred_taxes"
"a3YDm000000Gu7JMAS","005Dm000000nnayIAA","","Deferred Income Tax - LTP","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Deferred_Income_Tax_LTP_ACCTGRD"
"a3YDm000000Gu7KMAS","005Dm000000nnayIAA","","Due to Related Co LT","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Due_to_Related_Co_LT_ACCTGRD"
"a3YDm000000Gu7LMAS","005Dm000000nnayIAA","","Other Non-current Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","other_non_current_liabilities"
"a3YDm000000Gu7MMAS","005Dm000000nnayIAA","","Other Operating Non-Cur Liabs","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Other_Operating_NonCur_Liabs_ACCTGRD"
"a3YDm000000Gu7NMAS","005Dm000000nnayIAA","","Other Non-Op Non-Cur Liabs","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Other_NonOp_NonCur_Liabs_ACCTGRD"
"a3YDm000000Gu7OMAS","005Dm000000nnayIAA","","Non-Accounting","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Other)","NonAccounting_ACCTGRD"
"a3YDm000000Gu7PMAS","005Dm000000nnayIAA","","Other Operating Expense","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Income Statement)","Other_Operating_Expense_ACCTGRD"
"a3YDm000000Gu7QMAS","005Dm000000nnayIAA","","Other Operating Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","other_operating_expenses"
"a3YDm000000Gu7RMAS","005Dm000000nnayIAA","","Other Non-Op Non-Cur Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Other_NonOp_NonCur_Assets_ACCTGRD"
"a3YDm000000Gu7SMAS","005Dm000000nnayIAA","","Other Non-Current Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","other_non_current_assets"
"a3YDm000000Gu7TMAS","005Dm000000nnayIAA","","Intangibles - Due From Related","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Intangibles_Due_From_Related_ACCTGRD"
"a3YDm000000Gu7UMAS","005Dm000000nnayIAA","","Intangibles (gross)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","RMA Benchmarking","intangibles_gross"
"a3YDm000000Gu7VMAS","005Dm000000nnayIAA","","Intangibles - Goodwill","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Intangibles_Goodwill_ACCTGRD"
"a3YDm000000Gu7WMAS","005Dm000000nnayIAA","","Intangibles - Other","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Balance Sheet)","Intangibles_Other_ACCTGRD"
"a3YDm000000Gu7XMAS","005Dm000000nnayIAA","","PFS - Liquid Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","Accounting Grid (Individual)","PFS_Liquid_Assets_ACCTGRD"
