"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Bundle__c","LLC_BI__Is_Collapsed__c","LLC_BI__Is_Template__c","LLC_BI__Output_1_Display_Type__c","LLC_BI__Output_1_Formula__c","LLC_BI__Output_1_Name__c","LLC_BI__Output_2_Display_Type__c","LLC_BI__Output_2_Formula__c","LLC_BI__Output_2_Name__c","LLC_BI__Output_3_Display_Type__c","LLC_BI__Output_3_Formula__c","LLC_BI__Output_3_Name__c","LLC_BI__Output_4_Display_Type__c","LLC_BI__Output_4_Formula__c","LLC_BI__Output_4_Name__c","LLC_BI__Output_5_Display_Type__c","LLC_BI__Output_5_Formula__c","LLC_BI__Output_5_Name__c","LLC_BI__Output_A_Display_Type__c","LLC_BI__Output_A_Formula__c","LLC_BI__Output_A_Name__c","LLC_BI__Output_B_Display_Type__c","LLC_BI__Output_B_Formula__c","LLC_BI__Variable_A_Direction__c","LLC_BI__Variable_A_Increments__c","LLC_BI__Variable_A_Name__c","LLC_BI__Variable_B_Direction__c","LLC_BI__Variable_B_Increments__c","LLC_BI__Variable_B_Name__c","LLC_BI__lookupKey__c"
"a4JDm0000008SRNMA2","005Dm000000nnayIAA","","SA-0174","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","true","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$) - $B$","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42899946457085032"
"a4JDm0000008SROMA2","005Dm000000nnayIAA","","SA-0175","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$) - $B$","NOI","Double","$1$ / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42628848789600353"
"a4JDm0000008SRPMA2","005Dm000000nnayIAA","","SA-0176","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","true","Double","(<#effective_gross_income> - $B$) / (PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","Currency","(<#effective_gross_income> - $B$) / $A$","Estimated Value","Percent","{{loanAssumptions:requestedLoanAmount}} / $2$","Loan to Value","String","","","String","","","Percent","%A% + <#cap_rate>","Total","Currency","<#total_operating_expenses> * (1 + %B%)","X","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","Y","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","42005369369600505"
"a4JDm0000008SRQMA2","005Dm000000nnayIAA","","SA-0177","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","PMT($A$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}})","Monthly Payment","Currency","$1$ * {{loanAssumptions:selectedPeriod.numberOfPeriods}}","Debt Service","Currency","<#noi> - $2$","CF After Debt Service","Double","<#noi> / $2$","DSCR","String","","","Percent","%A% + {{loanAssumptions:interestRate}}","Total","String","","","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","","","","42569956923091999"
"a4JDm0000008SRRMA2","005Dm000000nnayIAA","","SA-0178","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","<#potential_gross_income> - (<#potential_gross_income> * $A$)","Effective Gross Income","Currency","$1$ - <#total_operating_expenses>","NOI","Currency","$2$ - <#debt_service>","CF After Debt Service","Double","$2$ / <#debt_service>","DSCR","String","","","Percent","%A% + <#vacancy_rate>","Total","String","","","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","","","","42223500607969349"
"a4JDm0000008SRSMA2","005Dm000000nnayIAA","","SA-0179","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","<#effective_gross_income> - $A$","NOI","Currency","$1$ - <#debt_service>","CF After Debt Service","Double","$1$ / <#debt_service>","DSCR","String","","","String","","","Currency","<#total_operating_expenses> * (1 + %A%)","Total Op Ex","String","","","-20,-15,-10,-5,0,5,10,15,20","Operating Expenses","","","","42601862219162308"
"a4JDm0000008SRTMA2","005Dm000000nnayIAA","","SA-0180","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","<#noi> / $A$","Estimated Value","Currency","$1$ * {{policyLTV}}","Max Loan Given Policy LTV","String","","","String","","","String","","","Percent","%A% + <#cap_rate>","Total","String","","","-1,-.75,-.5,-.25,0,.25,.5,.75,1","Cap Rate","","","","42909743189309679"
"a4JDm0000008SRUMA2","005Dm000000nnayIAA","","SA-0181","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","PMT({{loanAssumptions:interestRate}}/12,{{loanAssumptions:amortizationMonths}},-1 * $A$)","Monthly Payment","Currency","$1$ * {{loanAssumptions:selectedPeriod.numberOfPeriods}}","Debt Service","Double","<#noi> / $2$","DSCR","String","","","String","","","Currency","{{loanAssumptions:requestedLoanAmount}} + (%A% * {{loanAssumptions:requestedLoanAmount}})","Total Loan Amount","String","","","-4,-3,-2,-1,0,1,2,3,4","Loan Amount","","","","42075758066986914"
"a4JDm0000008SRVMA2","005Dm000000nnayIAA","","SA-0182","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","false","Currency","$A$ - <#debt_service>","CF After Debt Service","Double","$A$ / <#debt_service>","DSCR","String","","","String","","","String","","","Currency","<#noi> * (1 + %A%)","Total NOI","String","","","20,15,10,5,0,-5,-10,-15,-20","NOI","","","","42953774635227788"
"a4JDm0000008SRWMA2","005Dm000000nnayIAA","","SA-0183","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a1GDm000000YCJ1MAO","false","true","Currency","(<#potential_gross_income> - (<#potential_gross_income> * $A$)) - <#total_operating_expenses>","NOI","Currency","$1$ - (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","CF After Debt Service","Double","$1$ / (PMT($B$/12,{{loanAssumptions:amortizationMonths}},-1 * {{loanAssumptions:requestedLoanAmount}}) * {{loanAssumptions:selectedPeriod.numberOfPeriods}})","DSCR","String","","","String","","","Percent","%A% + <#vacancy_rate>","Total","Percent","%B% + {{loanAssumptions:interestRate}}","X","-20,-15,-10,-5,0,5,10,15,20","Vacancy Rate","Y","-2,-1.5,-1,-.5,0,.5,1,1.5,2","Interest Rate","42656797962152710"
