"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Spread_Statement_Type__c","LLC_BI__Debit__c","LLC_BI__Hide_All_Records__c","LLC_BI__Hide_Currency_Symbol__c","LLC_BI__Include_In_Total__c","LLC_BI__Is_Grand_Total__c","LLC_BI__Row_Number__c","LLC_BI__Title__c","LLC_BI__lookupKey__c","LLC_BI__Group_Type__c","LLC_BI__Is_Summary_Group__c","LLC_BI__Global_Analysis_Type__c","LLC_BI__Hide_Column_Totals__c","LLC_BI__KPI_Type__c","LLC_BI__Publish_On_Init_Event__c","LLC_BI__Publish_On_Update_Event__c","LLC_BI__Total_Type__c","LLC_BI__Show_Math__c","LLC_BI__Source_Group__c","LLC_BI__Is_Balance_Check__c","LLC_BI__Color__c"
"a16Dm000000MOfkIAG","","Liquid Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","false","false","true","","10.0","Liquid Assets","42370189793682164","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOflIAG","","Total Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","true","false","true","","30.0","Total Assets","42033736906888553","Financial","false","Total Assets","false","","","","Standard","false","","false",""
"a16Dm000000MOfmIAG","","Total Adjusted Net Worth","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","false","false","true","","70.0","Total Adjusted Net Worth","42253821709162236","Financial","false","Adjusted Total Equity","false","","","","Standard","false","","false",""
"a16Dm000000MOfnIAG","","Total Stated Net Worth (subT)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","true","false","true","","50.0","Stated Net Worth (Subtotal)","42003406963362553","Financial","false","Total Equity","false","","","","Standard","false","","false",""
"a16Dm000000MOfoIAG","","Total Other Assets","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","false","false","true","","20.0","Other Assets","42035581648098537","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfpIAG","","Total Liabilities","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","false","false","true","","40.0","Liabilities","42847930463958654","Financial","false","Total Liabilities","false","","","","Standard","false","","false",""
"a16Dm000000MOfqIAG","","Total Adjustments to NW","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1FIAS","false","false","false","true","","60.0","Adjustments to Net Worth","42156245030630951","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfrIAG","","Total Schedule E Cash Flow","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","40.0","Schedule E Cash Flow","42517687281016753","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfsIAG","","Total Debt Service","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","100.0","Debt Service","42088039285440683","Financial","false","Debt Service","false","","","","Standard","false","","false",""
"a16Dm000000MOftIAG","","Total Schedule F Cash Flow","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","50.0","Schedule F Cash Flow","42316766168619406","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfuIAG","","Gross Cash Flow (subT)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","90.0","Gross Cash Flow (SubTotal)","42658816964804185","Financial","false","Cash Flow","false","","","","Standard","false","","false",""
"a16Dm000000MOfvIAG","","Total Net Cash Flow","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","true","false","true","","110.0","Total Net Cash Flow","42322021304014096","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfwIAG","","Total Schedule C Cash Flow","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","20.0","Schedule C Cash Flow","42787422235167884","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfxIAG","","Personal Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","10.0","Personal Income","42461892225347030","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfyIAG","","Schedule C Cash Flow Adjustments","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","30.0","Schedule C Cash Flow Adjustments","42557576102044390","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOfzIAG","","Schedule K-1 Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","60.0","Schedule K-1 Income","42179153534564018","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg0IAG","","Total Deductions","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","70.0","Deductions","42996463125815007","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg1IAG","","Total Adjustments to CF","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1HIAS","false","false","false","true","","80.0","Adjustments to Cash Flow","42201672186017906","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg2IAG","","Gross Income","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1IIAS","false","false","false","true","","40.0","Gross Income","42930871088312092","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg3IAG","","Net Profit/(Loss)","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1IIAS","false","true","false","true","","70.0","Net Profit/(Loss)","42020912471766237","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg4IAG","","Total Expenses","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1IIAS","false","false","false","true","","50.0","Expenses","42516109143736271","Financial","false","None","false","","","","Standard","false","","false",""
"a16Dm000000MOg5IAG","","Net Sales","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","a19Dm000001Iw1IIAS","false","false","false","true","","10.0","Net Sales","42497585303173322","Financial","false","None","false","","","","Standard","false","","false",""
