"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","LLC_BI__Allow_Record_Filtering__c","LLC_BI__Balance_Total__c","LLC_BI__Borrower_Type__c","LLC_BI__Bundle__c","LLC_BI__Description__c","LLC_BI__End_Date_Quarter__c","LLC_BI__End_Date__c","LLC_BI__Entity_Type__c","LLC_BI__Group_Columns__c","LLC_BI__Interaction__c","LLC_BI__Is_Balance_Sheet__c","LLC_BI__Is_Budget__c","LLC_BI__Is_Cash_Flow_Statement__c","LLC_BI__Is_Income_Statement__c","LLC_BI__Is_Personal_Financial_Statement__c","LLC_BI__Is_Ratios__c","LLC_BI__Is_Template__c","LLC_BI__Is_Traditional_Cash_Flow__c","LLC_BI__Is_UCA_Cash_Flow__c","LLC_BI__Product_Line__c","LLC_BI__Product_Type__c","LLC_BI__Product__c","LLC_BI__Spread_Statement_Total_Group__c","LLC_BI__Start_Date_Quarter__c","LLC_BI__Start_Date__c","LLC_BI__Static_Periods__c","LLC_BI__Total_Hide_Currency_Symbol__c","LLC_BI__Total_Row_Name__c","LLC_BI__Type__c","LLC_BI__lookupKey__c","LLC_BI__Is_Global_Analysis__c","LLC_BI__Calc_Common_Sizing_Record__c","LLC_BI__Calc_Common_Sizing_Total_Group__c","LLC_BI__Sort_Order__c","LLC_BI__Display_Common_Sizing__c","LLC_BI__Supports_Common_Sizing__c","LLC_BI__Display_Trend__c","LLC_BI__Supports_Trend__c","LLC_BI__Display_Projection_Drivers__c","LLC_BI__Source_Statement__c","LLC_BI__Is_Multi_Currency__c"
"a19Dm000001Iw1FIAS","005Dm000000nnayIAA","","000003914","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Personal Financial Statement","42874763403944311","","","","100.0","false","","false","","false","","false"
"a19Dm000001Iw1GIAS","005Dm000000nnayIAA","","000003917","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Schedule E","42537822157366058","","","","400.0","false","","false","","false","","false"
"a19Dm000001Iw1HIAS","005Dm000000nnayIAA","","000003915","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Traditional Cash Flow","42565892204185460","","","","200.0","false","","false","","false","","false"
"a19Dm000001Iw1IIAS","005Dm000000nnayIAA","","000003916","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Schedule C","42567909799112129","","","","300.0","false","","false","","false","","false"
"a19Dm000001Iw1JIAS","005Dm000000nnayIAA","","000003918","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Schedule F","42930451079429346","","","","500.0","false","","false","","false","","false"
"a19Dm000001Iw1KIAS","005Dm000000nnayIAA","","000003921","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Ratios","42899806087187980","","","","600.0","false","","false","","false","","false"
"a19Dm000001Iw1LIAS","005Dm000000nnayIAA","","000003919","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIxMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Ratios","42031914997206446","","","","600.0","false","","false","","false","","false"
"a19Dm000001Iw1MIAS","005Dm000000nnayIAA","","000003920","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Balance Sheet","42575175729298504","","","a16Dm000000MOgLIAW","100.0","false","","false","","false","","false"
"a19Dm000001Iw1NIAS","005Dm000000nnayIAA","","000003922","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Income Statement","42162784209158118","","","a16Dm000000MOgaIAG","200.0","false","","false","","false","","false"
"a19Dm000001Iw1OIAS","005Dm000000nnayIAA","","000003923","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","true","false","","a1GDm000000YCIyMAO","","","","Sole Proprietorship","true","keyboard","","","","","","","true","","","","","","","","","false","false","","Traditional Cash Flow","42464195411155169","","","","400.0","false","","false","","false","","false"
