"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__lookupKey__c","nFORCE__Default_Collapse_Parent_Navigation__c","nFORCE__Is_Archived__c","nFORCE__Is_Questionnaire__c","nFORCE__Parent_Group__c","nFORCE__Screen__c","nFORCE__Taxonomy_Id__c","nFORCE__Category__c","nFORCE__Layout__c","nFORCE__Answer_Context__c","Description_Custom__c","nFORCE__Description__c"
"a2BDm000000DHVWMA4","005Dm000001PCR9IAO","","Deal Management Workspace: Loan","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-group-loan","dmwui-42926525468","false","false","false","","","","","","","",""
"a2BDm000000DHVXMA4","005Dm000000nnayIAA","","Reg O Loan Questionnaire","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42403246748782453","false","false","true","","","","","","","",""
"a2BDm000000DHVYMA4","005Dm000000nnayIAA","","Reg W","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42609568878702857","false","false","true","","","","","","","",""
"a2BDm000000DHVZMA4","005Dm000000nnayIAA","","HVCRE","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42088290342052409","false","false","true","","","","","","","",""
"a2BDm000000DHVaMAO","005Dm000000nnayIAA","","CRA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42628075973481801","false","false","true","","","","","","","",""
"a2BDm000000DHVbMAO","005Dm000000nnayIAA","","Product Package Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","pp-details","42543592196307027","false","false","false","","","pp-details","","","","",""
"a2BDm000000DHVcMAO","005Dm000000nnayIAA","","Treasury Proforma","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","treasury-proforma","42632675207231296","false","false","false","","","treasury-proforma","","","","",""
"a2BDm000000DHVdMAO","005Dm000001PCR9IAO","","Deal Management Workspace: Treasury","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-group-treasury","dmwui-42947458925","false","false","false","","","","","","","",""
"a2BDm000000DHVeMAO","005Dm000000nnayIAA","","HMDA Questionnaire","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42198546854157256","false","false","true","","","","","","","",""
"a2BDm000000DHVfMAO","005Dm000000nnayIAA","","Individual KYC","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","","","","42245838511199639","false","false","true","","","","","","","",""
