"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastViewedDate","LastReferencedDate","ConnectionReceivedId","ConnectionSentId","nFORCE__App__c","nFORCE__Body__c","nFORCE__Group__c","nFORCE__Icon_Class__c","nFORCE__Is_Hidden__c","nFORCE__Navigation__c","nFORCE__Order__c","nFORCE__Parent_App__c","nFORCE__Screen__c","nFORCE__Sub_Navigation__c","nFORCE__Toolbar__c","nFORCE__Topbar__c","nFORCE__lookupKey__c","nFORCE__Taxonomy_Id__c","nFORCE__Parameters__c","nFORCE__Body_Type__c","nFORCE__Description__c"
"a2EDm0000008o7AMAQ","005Dm000001PCR8IAO","","Insights","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","insights","nforce__blank","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","42088500489068739","insights","","",""
"a2EDm0000008o7BMAQ","005Dm000001PCR8IAO","","Data Management","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","aws-data-auth","nforce__awsdatacommunicationprovider","","","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","42796440044808464","aws-data-auth","","",""
"a2EDm0000008o7CMAQ","005Dm000001PCR9IAO","","All Loan Facilities","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-loans","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9oMAG","","","","dmwui-42765926511","","","",""
"a2EDm0000008o7DMAQ","005Dm000001PCR9IAO","","Bulk Edit","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-loans.dmw-bulk-action-bulk-edit","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9pMAG","","","","dmwui-42867921712","","","",""
"a2EDm0000008o7EMAQ","005Dm000001PCR9IAO","","Row Edit","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-loans.dmw-row-action-edit","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9qMAG","","","","dmwui-42048096174","","","",""
"a2EDm0000008o7FMAQ","005Dm000000nnayIAA","","Collateral Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","collateral2-summary-m","nforce__ncdatagrid","","n-icon-collateral","false","nforce__navigation","","","a2GDm000000LG9uMAG","nforce__sub_navigation","","nforce__topbar","42639284719916600","collateral2-summary-m","","",""
"a2EDm0000008o7GMAQ","005Dm000001PCR9IAO","","All Treasury Services","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-treasury","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9rMAG","","","","dmwui-42428825240","","","",""
"a2EDm0000008o7HMAQ","005Dm000001PCR9IAO","","Bulk Edit","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-treasury.dmw-bulk-action-bulk-edit","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9sMAG","","","","dmwui-42599163446","","","",""
"a2EDm0000008o7IMAQ","005Dm000001PCR9IAO","","Row Edit","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","","","dmw-list-view-all-treasury.dmw-row-action-edit","llc_bi:dealManagementWorkspace","","","false","","","","a2GDm000000LG9tMAG","","","","dmwui-42299357326","","","",""
"a2EDm0000008o7JMAQ","005Dm000000nnayIAA","","Collateral Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","collateral2-details-m","nforce__korelatedtable","","n-","false","nforce__navigation","","","a2GDm000000LG9vMAG","nforce__sub_navigation","","nforce__topbar","42525387980542900","collateral2-details-m","","",""
"a2EDm0000008o7KMAQ","005Dm000000nnayIAA","","Manage Collateral","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","","","manage-collateral-landing","","","n-icon-collateral","false","nforce__navigation","","","","nforce__sub_navigation","","nforce__topbar","42597285567529700","manage-collateral-landing","","",""
