"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Disable_Read_Only_View__c","nFORCE__Display_Input_Address_Component__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2FDm000000HEAZMA4","","Enhanced Fees Management","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG8vMAG","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","a2IDm000000PKHxMAO","MappedSObjectHierarchyScreenResource","","42959339373236524","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAaMAO","","Add Non Standard Fee","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG8vMAG","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42390442217238179","LLC_BI__Fee__c","false","false","","","","","false","false",""
"a2FDm000000HEAbMAO","","Enhanced Fee Loan Aggregate Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG8vMAG","false","false","false","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42342443550777061","LLC_BI__Fee_Loan_Aggregate__c","false","false","","","","","false","false",""
"a2FDm000000HEAcMAO","","System Properties","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG8wMAG","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","a2IDm000000PKHyMAO","CustomSettingsListScreenResource","","42982998390932528","nFORCE__System_Properties__c","false","false","","","","","false","false",""
"a2FDm000000HEAeMAO","","Enhanced Fees Management","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGDQMA4","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","14331619447515161","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAfMAO","","Enhanced Fees Management","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGDzMAO","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","90841620937672154","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAgMAO","","Editable Fields","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG8xMAG","false","false","false","true","false","","slide","true","false","false","false","","false","","a2IDm000000PKI3MAO","MappedSObjectScreenResource","","46951620937672171","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAiMAO","","Collateral Summary","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9uMAG","false","false","false","false","false","10.0","slide","true","false","false","false","","false","","a2IDm000000PKHzMAO","MappedSObjectScreenResource","","a2FDm000000HEAiMAO","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAjMAO","","Collateral Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LG9vMAG","false","false","false","false","false","10.0","slide","true","false","false","true","","false","","a2IDm000000PKI0MAO","MappedSObjectHierarchyScreenResource","","a2FDm000000HEAjMAO","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEAwMAO","","Deposits","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGD4MAO","false","false","false","false","false","0.0","slide","true","false","false","false","","false","","a2IDm000000PKI2MAO","GrandchildScreenResource","","a2FDm000000HEAwMAO","LLC_BI__Product_Package__c","false","false","","","","","false","false",""
"a2FDm000000HEBWMA4","","UI Config Builder - Section List","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","a2GDm000000LGCyMAO","false","false","false","true","false","700.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42462740097777573","nFORCE__Screen__c","false","false","","","","","false","false",""
"a2FDm000000HEBXMA4","","UI Config Builder - Field Configuration","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","a2GDm000000LGCyMAO","false","false","false","true","false","800.0","slide","true","false","false","false","","true","","","MappedSObjectHierarchyScreenResource","","42325303067594960","nFORCE__Field_Configuration__c","false","false","","","","","false","false",""
"a2FDm000000HEBYMA4","","UI Config Builder - Add a New Conditional Screen Section","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR8IAO","","","","a2GDm000000LGCyMAO","false","false","true","true","false","900.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42647477791041417","nFORCE__Screen_Section__c","false","false","","","","","false","false",""
"a2FDm000000HEBZMA4","","Loan Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA2MAO","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42885238446218305","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBaMAO","","Pricing","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA3MAO","false","false","true","true","false","1.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42695358678995837","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBbMAO","","Rate Structure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA4MAO","false","false","true","true","false","2.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42632549908986914","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBcMAO","","Payment Structure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA5MAO","false","false","true","true","false","3.0","slide","true","false","false","false","","false","","","MappedSObjectScreenResource","","42308707868520612","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBdMAO","","Referral","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA6MAO","false","false","true","true","false","4.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42013506331028383","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBeMAO","","Balance Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA7MAO","false","false","true","true","false","5.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42372651311222183","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBfMAO","","Booked Details","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA8MAO","false","false","true","true","false","6.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42926917196790253","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBgMAO","","Borrowing Structure","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGA9MAO","false","false","false","true","false","0.0","slide","true","false","false","false","","false","","","MappedSObjectHierarchyScreenResource","","42587232006534989","LLC_BI__Loan__c","false","false","","","","","false","false",""
"a2FDm000000HEBhMAO","","Loan Information","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2GDm000000LGAAMA4","false","false","true","true","false","0.0","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42801463920777890","LLC_BI__Loan__c","false","false","","","","","false","false",""
