"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen_Section__c","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Layout__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Section_Header__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","nFORCE__Filter_Criteria__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c"
"a2HDm000000LDYLMA4","","SC-000011328","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEAZMA4","2.02","LLC_BI__Manage_Fees_List_Enhanced","a2CDm000000LiufMAC","a2HDm000000LDhWMAW","LLC_BI__Fees__r","","42535968074535277","LLC_BI__Fee__c","","0.0","false","","false"
"a2HDm000000LDYMMA4","","SC-000011329","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEAaMAO","1.01","LLC_BI__Add_Non_Standard_Fee","","","","","42445498812840928","LLC_BI__Fee__c","","","false","","false"
"a2HDm000000LDYNMA4","","SC-000011330","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEAbMAO","1.01","LLC_BI__Enhanced_Fee_Loan_Aggregate_Summary","","","","","42381359561426432","LLC_BI__Fee_Loan_Aggregate__c","","","false","","false"
"a2HDm000000LDYOMA4","","SC-000011685","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEAeMAO","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HDm000000LDzHMAW","LLC_BI__Fees__r","","39841619447516045","LLC_BI__Fee__c","LLC_BI__Status__c != Inactive","","false","","false"
"a2HDm000000LDYPMA4","","SC-000011702","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEAfMAO","2.02","LLC_BI__Manage_Fees_List_Enhanced","","a2HDm000000LDzzMAG","LLC_BI__Fees__r","","25811620937672786","LLC_BI__Fee__c","","","false","","false"
"a2HDm000000LDYQMA4","","SC-000011789","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEEWMA4","3.02","UI_Participations","a2CDm000000LiugMAC","a2HDm000000LDYRMA4","LLC_BI__Participations__r","","42577743508659082","LLC_BI__Participation__c","","0.0","false","","false"
"a2HDm000000LDYRMA4","","SC-000011788","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEEWMA4","2.02","","a2CDm000000LiuhMAC","a2HDm000000LDYfMAO","LLC_BI__Loan_Facilities__r","","42620687442222393","LLC_BI__Loan__c","","0.0","false","","false"
"a2HDm000000LDYSMA4","","SC-000011790","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HERzMAO","1.01","LLC_BI__Deal_Management_Loan_Tree_Grid","","","","","dmwui-42595567116","LLC_BI__Loan__c","[{""filterKey"":""activity"",""operator"":""="",""value"":[""active""],""isLocked"":false}]","","false","","false"
"a2HDm000000LDYTMA4","","SC-000011791","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HES0MAO","1.01","LLC_BI__ReviewDisplay","","","","","dmwui-42958747140","LLC_BI__Loan__c","","","false","","false"
"a2HDm000000LDYUMA4","","SC-000011792","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HES1MAO","1.01","LLC_BI__ReviewDisplay","","","","","dmwui-42088396753","LLC_BI__Loan__c","","","false","","false"
"a2HDm000000LDYVMA4","","SC-000011793","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HES2MAO","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42112875712","LLC_BI__Treasury_Service__c","[{""filterKey"":""LLC_BI__Is_Active__c"",""operator"":""="",""value"":""true"",""isLocked"":false}]","","false","","false"
"a2HDm000000LDYWMA4","","SC-000011794","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HES3MAO","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42621134800","LLC_BI__Treasury_Service__c","","","false","","false"
"a2HDm000000LDYXMA4","","SC-000011795","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","","","a2FDm000000HES4MAO","1.01","LLC_BI__Treasury_Services_Summary_UI","","","","","dmwui-42673872396","LLC_BI__Treasury_Service__c","","","false","","false"
"a2HDm000000LDYYMA4","","SC-000010793","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEEPMA4","1.01","LLC_BI__Total_Exposure_Summary","","","","Total Exposure Summary","42411132000495711","Account","","","false","","false"
"a2HDm000000LDYZMA4","","SC-000010794","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEEQMA4","1.01","LLC_BI__Add_Debt_Account","","","","Add Debt","42695800345602455","LLC_BI__Debt__c","","","false","","false"
"a2HDm000000LDYaMAO","","SC-000010795","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","","","a2FDm000000HEERMA4","1.01","LLC_BI__Exposure_Exclusion_Enable","","","","Exposure Exclusion Enable","42225363846210776","LLC_BI__Excluded_Exposure__c","","","false","","false"
