"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Allows_Reconfiguration__c","nFORCE__Class_Name__c","nFORCE__Help_Text__c","nFORCE__Is_Active__c","nFORCE__Is_Configured__c","nFORCE__Is_Link__c","nFORCE__Link_URL__c"
"a1SDm000000l3cIMAQ","","Middleware Configuration","","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","","true","nFUSE.MiddlewareConfiguration","Click to navigate to the Middleware configurables","true","false","false",""
"a1SDm000000l3cJMAQ","","Plugin Configuration","","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","2023-02-24T16:04:45.000Z","005Dm000001PCRCIA4","","true","nFUSE.PluginConfiguration","Click to configure Integration Framework Plugins","true","false","false",""
"a1SDm000000l3cKMAQ","","Update Overview","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","OverviewUpdateConfiguration","Click configure to navigate to the overview update page.","true","false","false",""
"a1SDm000000l3cLMAQ","","Analytics Data Collector","","2023-02-24T16:04:45.000Z","005Dm000001PCRlIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRlIAO","","true","nBIDC.SystemConfiguration","Click the configure button in order to populate the master org authentication credentials.","true","false","false",""
"a1SDm000000l3cMMAQ","","Analytic Data","","2023-02-24T16:04:45.000Z","005Dm000001PCRlIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRlIAO","","true","","Click to view all the captured analytic data","true","true","true","http://site-dream-952.my.salesforce.com/a1v"
"a1SDm000000l3cNMAQ","","Configure New Products & Services","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","false","","Used to Load Configuration for the Products & Services VF Page","true","false","true","/apex/c__InstallNewCFGs"
"a1SDm000000l3cOMAQ","","Org2Org Communications","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","nFORCE.Org2OrgCommsConfiguration","Click the configure button to define the communications from this Salesforce org to others.","true","false","false",""
"a1SDm000000l3cPMAQ","","Data Store","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Click to view all the data captured in the store.","true","true","true","https://site-dream-952.my.salesforce.com/a27"
"a1SDm000000l3cQMAQ","","Pricing Structure System Configuration","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Click to navigate to the Pricing Structure Configuration","true","false","false",""
"a1SDm000000l3cRMAQ","","Policy Exception Management","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Manage Policy Exception Templates","true","false","true","https://site-dream-952.my.salesforce.com/a3H"
"a1SDm000000l3cSMAQ","","Dictionary Generator","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Dictionary Generator","true","true","true","https://site-dream-952--c.na15.visual.force.com/apex/dictionarycommspage"
"a1SDm000000l3cTMAQ","","Document Manager External Storage","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","true","NDOC.ExternalFileStorageConfiguration","Click the configure button to configure External Storage options for Document Manager.","true","false","false",""
"a1SDm000000l3cUMAQ","","Fee Management","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Manage Default Template Fees","true","false","true","/apex/LLC_BI__FeeManagement"
"a1SDm000000l3cVMAQ","","Configure DocuSign","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","","Click the link to configure your DocuSign connection. Click the manage button and then select the DocuSign communicator after clicking the link.","true","true","true","https://site-dream-952.my.salesforce.com/setup/ui/listCustomSettingsData.apexp?id=a0K"
"a1SDm000000l3cWMAQ","","REST Analytics Data Collector","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","true","nFORCE.Org2OrgSystemConfiguration","Click the configure button in order to populate the master org authentication credentials.","true","false","false",""
