"Id","IsDeleted","Name","SetupOwnerId","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","nFORCE__Category_Name__c","nFORCE__Is_Active__c","nFORCE__Key__c","nFORCE__Value__c","nFORCE__Description__c","nFUSE__Is_Encrypted__c","nFUSE__Value_Data_Type__c","nFORCE__Institution_ID__c"
"a1TDm0000004j8mMAA","","48626484824862846272486","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","ENTITY_INVOLVEMENT","true","Disable New Entity Creation from EI","False","","false","",""
"a1TDm0000004j8nMAA","","Enhanced Domain","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","nCino UI built with LWC","true","My Domain Configuration","https://psomastercommercialcore--{0}.vf.force.com","","false","",""
"a1TDm0000004j8oMAA","","465B7B76_6D41_4220_9E11_63354F080D56","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","New Customer Creation","true","nco_url","/apex/llc_bi__product_line_selection?app=new-relationship.create-relationship","When a user upgrades to the updated New Customer Onboarding experience, this system property's value contains the URL for the updated experience. When this system property is active and true, the system redirects the user to the updated NCO experience.","false","",""
"a1TDm0000004j8pMAA","","CFG_to_PSC","","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","2023-02-24T16:04:45.000Z","005Dm000000nnayIAA","","CFG_TO_PSC","true","RenewalsStageStatusBookedLoansPSC","true","This system property determines the booked status of loan, and therefore the active covenants, through the product state config of Is_Booked__c rather than the CFG key or value.","false","",""
"a1TDm0000004j8qMAA","","2D58214A_375A_4545_9E53_173E630B6C1D","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","Deposit Account Opening","true","Create Entity Involvement For Households","false","This system property creates an entity involvement for connected households when active and the value is true. On installation, the system sets Is Active to true and the value to false","false","",""
"a1TDm0000004j8rMAA","","11505C5B_147B_4C07_8F12_23013F43264B","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","smart_checklist","true","Checklist Generation Frequency","3","Determines the frequency (in minutes) at which Smart Checklist should automatically generate new requirements.","false","",""
"a1TDm0000004j8sMAA","","49081138_7C4B_4468_8D67_563C55455264","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","FSC","true","Maximum Trigger Events","50","This system property defines the maximum number of trigger events the system can process at once. By default, this property limits this to 50 events.","false","",""
"a1TDm0000004j8tMAA","","247D715E_340E_4301_9331_30266810121C","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","New Customer Creation","true","Account Icon Path","assets/icons/standard/account_60.png","","false","",""
"a1TDm0000004j8uMAA","","6832545A_1837_473D_9113_743F5B7B2F4F","","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","2023-02-24T16:04:45.000Z","005Dm000001PCR9IAO","","New Customer Creation","true","Account Icon Background","slds-icon-standard-account","","false","",""
"a1TDm0000004j8vMAA","","0258373F_6E5F_4F27_A54D_514B6E7C0C56","","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","2023-02-24T16:04:45.000Z","005Dm000001PCRhIAO","","document manager","true","Document_Manager_BulkUpdate","true","This system property enables Document Manager Bulk Update for users with the appropriate permissions. On installation, the system sets Is Active to true and the value to true.","false","",""
